Station_ID,City,PM2.5,PM10,NO2,SO2,CO,Ozone,Temperature,Humidity,Wind_Speed,AQI,AQI_Category,Weather
1,Mumbai,24.1,274.1,59.0,89.2,4.45,140.1,43.5,70.0,5.3,119.0,Moderate,Foggy
2,Surat,293.8,246.8,20.5,49.3,2.1,64.3,29.4,72.0,17.2,187.0,Moderate,Foggy
3,Surat,63.6,217.5,106.4,37.2,4.14,149.5,24.9,92.0,18.0,129.0,Satisfactory,Cloudy
4,Chennai,276.2,21.0,41.4,9.1,0.94,124.0,40.9,57.0,11.3,112.0,Satisfactory,Rainy
5,Bengaluru,248.9,272.1,15.8,92.3,3.41,158.9,26.0,84.0,4.2,178.0,Good,Sunny
6,Kolkata,183.3,339.6,140.2,8.0,3.39,180.9,16.9,92.0,8.0,221.0,Good,Cloudy
7,Surat,77.5,148.6,115.4,28.4,2.58,93.3,30.0,45.0,19.6,113.0,Moderate,Rainy
8,Ahmedabad,178.2,30.5,31.0,86.1,0.26,187.6,40.9,45.0,1.3,79.0,Severe,Foggy
9,Mumbai,292.6,367.4,135.9,20.7,1.94,102.5,38.5,47.0,7.8,265.0,Good,Cloudy
10,Chennai,272.8,269.9,,7.4,3.65,78.1,36.7,48.0,15.7,,Severe,Rainy
11,Chennai,55.0,354.4,48.2,94.4,3.45,72.3,18.5,63.0,7.7,152.0,Moderate,Cloudy
12,Hyderabad,54.1,94.3,10.8,73.4,1.35,44.5,44.9,41.0,6.3,53.0,Very Poor,Cloudy
13,Bengaluru,38.1,276.2,55.0,91.9,2.82,11.9,23.2,23.0,3.6,123.0,Moderate,Cloudy
14,Pune,38.1,314.1,94.7,45.6,1.22,72.7,24.3,37.0,8.1,148.0,Moderate,Cloudy
15,Jaipur,37.8,308.0,92.2,70.4,3.29,140.6,,61.0,4.6,146.0,Severe,Sunny
16,Jaipur,153.2,199.5,100.1,42.1,3.77,20.8,29.1,21.0,18.6,150.0,Satisfactory,Cloudy
17,Jaipur,119.5,68.4,109.4,42.7,2.46,122.2,37.9,21.0,8.6,99.0,Moderate,Sunny
18,Kolkata,110.7,206.3,158.1,98.5,3.75,31.2,22.6,29.0,8.1,158.0,Satisfactory,Rainy
