Date,Country,Region,Cases,Recovered,Deaths,Active,NewCases,NewDeaths,Lockdown,Vaccine
2022-12-01,South Africa,Africa,111094.0,92389.0,2096.0,16609,1379.0,73.0,55.8,11.9
2022-02-26,UK,Europe,322424.0,259015.0,1893.0,61516,3542.0,50.0,50.6,97.0
2021-09-04,Italy,Europe,5547.0,4068.0,69.0,1410,4301.0,80.0,73.8,54.4
2020-07-30,South Africa,Africa,36178.0,23714.0,1169.0,11295,2138.0,100.0,96.7,8.0
2022-02-10,Canada,North America,122844.0,92714.0,6088.0,24042,2768.0,58.0,11.7,75.2
2020-08-03,Italy,Europe,450.0,413.0,0.0,37,3138.0,38.0,80.5,89.2
2021-01-11,UK,Europe,495406.0,301500.0,6083.0,187823,2715.0,21.0,58.6,73.6
2022-03-22,India,Asia,47677.0,35551.0,1534.0,10592,4926.0,3.0,29.0,17.5
2023-03-31,Japan,Asia,227501.0,195738.0,8974.0,22789,236.0,79.0,80.8,92.5
2020-05-20,Canada,North America,389483.0,196420.0,11667.0,181396,3341.0,53.0,18.1,
2022-11-24,South Africa,Africa,134987.0,119835.0,1353.0,13799,2269.0,93.0,75.6,98.4
2020-04-05,USA,North America,498391.0,432700.0,189.0,65502,4832.0,13.0,27.5,
2022-12-14,Brazil,South America,89860.0,55343.0,3097.0,31420,3647.0,15.0,37.2,11.1
2022-07-13,Canada,North America,117391.0,83874.0,4125.0,29392,655.0,70.0,49.4,78.1
2023-02-20,Canada,North America,322855.0,232183.0,10605.0,80067,4267.0,32.0,65.6,69.7
2020-03-21,India,Asia,21866.0,19310.0,136.0,2420,4391.0,73.0,71.3,67.5
2021-09-21,USA,North America,302525.0,242233.0,6855.0,53437,4061.0,13.0,59.8,64.1
2020-01-29,Germany,Europe,94985.0,60542.0,4272.0,30171,2903.0,24.0,38.1,52.0
2022-03-18,Canada,North America,114343.0,92227.0,3415.0,18701,2524.0,85.0,71.7,75.7
2021-12-17,Italy,Europe,49939.0,44223.0,2107.0,3609,4266.0,20.0,65.3,16.0
2022-01-01,Canada,North America,207640.0,162715.0,6619.0,38306,367.0,90.0,80.0,24.7
2022-06-25,Japan,Asia,345933.0,201384.0,13203.0,131346,4911.0,77.0,92.9,9.8
2020-12-18,South Africa,Africa,174589.0,136074.0,6209.0,32306,2321.0,62.0,92.1,58.4
2022-05-03,Australia,Oceania,128469.0,117988.0,2876.0,7605,51.0,23.0,11.0,54.7
2022-04-06,India,Asia,279970.0,245383.0,5118.0,29469,3330.0,17.0,33.0,11.5
2020-10-09,Italy,Europe,292249.0,282982.0,2978.0,6289,3785.0,67.0,13.6,39.9
2020-03-31,Brazil,South America,185327.0,160316.0,2310.0,22701,826.0,38.0,64.9,74.7
2020-07-08,Germany,Europe,328879.0,267472.0,12212.0,49195,3131.0,62.0,71.1,60.9
2022-03-28,USA,North America,411370.0,219562.0,17848.0,173960,516.0,5.0,12.7,27.2
2021-06-03,India,Asia,132652.0,115128.0,2196.0,15328,723.0,96.0,47.9,67.8
2020-10-27,India,Asia,152953.0,84372.0,4803.0,63778,4524.0,51.0,48.0,86.6
2023-02-20,Japan,Asia,322115.0,201163.0,3165.0,117787,4515.0,16.0,60.6,84.3
2021-01-05,Japan,Asia,182882.0,123836.0,8239.0,50807,2363.0,90.0,15.0,98.2
2022-11-05,India,Asia,454159.0,330897.0,4348.0,118914,1703.0,9.0,24.7,18.9
2021-07-25,Australia,Oceania,440118.0,256842.0,9177.0,174099,1552.0,92.0,97.8,
2022-05-01,Japan,Asia,34478.0,20932.0,1518.0,12028,2694.0,31.0,82.7,14.8
2020-09-19,South Africa,Africa,219365.0,189390.0,1219.0,28756,3372.0,91.0,91.2,46.5
2022-01-28,Canada,North America,302618.0,279226.0,13830.0,9562,4981.0,95.0,94.6,28.2
2021-01-09,Australia,Oceania,246801.0,177025.0,1747.0,68029,914.0,36.0,71.6,82.7
2022-08-25,Australia,Oceania,486769.0,469060.0,17345.0,364,2558.0,64.0,36.0,41.1
2020-02-28,Germany,Europe,418608.0,294988.0,10389.0,113231,2838.0,94.0,55.8,95.4
2020-11-27,USA,North America,390557.0,271965.0,15252.0,103340,4072.0,87.0,27.3,7.3
2020-06-11,Australia,Oceania,247798.0,233240.0,2846.0,11712,4670.0,65.0,18.4,98.8
