Country,Region,GDP_Per_Capita,Social_Support,Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Population,Happiness_Score,Happiness_Rank
Germany,Europe,1.963,0.951,79.9,0.696,0.379,0.421,14.5,1372746242.0,8.0,1.0
Brazil,Oceania,2.467,0.396,80.2,0.609,0.465,0.869,10.9,284648719.0,8.0,2.0
Denmark,Oceania,2.407,0.529,75.3,0.555,0.723,0.038,16.2,1286865136.0,8.0,3.0
France,South America,2.5,0.691,81.8,0.351,0.16,0.336,7.5,460162918.0,8.0,4.0
UAE,Oceania,2.152,0.795,81.4,0.545,0.092,0.832,3.0,1374035716.0,8.0,5.0
Norway,South America,2.324,0.712,75.1,0.809,0.079,0.441,19.5,794803709.0,8.0,6.0
Sweden,Oceania,2.325,0.557,81.0,0.427,0.793,0.656,13.1,1398702362.0,8.0,7.0
Canada,North America,2.185,0.723,70.5,0.714,0.576,0.404,2.2,1228859725.0,8.0,8.0
Denmark,South America,2.35,0.671,61.3,0.706,0.022,0.09,9.2,481088339.0,8.0,9.0
India,Europe,2.438,0.739,71.4,0.246,0.314,0.135,18.3,907888487.0,8.0,10.0
India,North America,2.437,0.722,84.7,0.473,0.012,0.336,24.5,1103358560.0,8.0,11.0
UAE,Europe,1.917,0.965,83.6,0.382,0.283,0.044,2.5,707461109.0,8.0,12.0
Australia,North America,1.799,0.932,69.0,0.767,0.528,0.024,23.1,1051925853.0,8.0,13.0
Nepal,Asia,1.91,0.558,76.1,0.564,0.001,0.274,18.2,137110247.0,8.0,14.0
Canada,Europe,1.706,0.811,77.1,0.776,0.356,0.015,18.8,849930215.0,8.0,15.0
Germany,Europe,2.448,0.46,73.4,0.565,0.772,0.539,22.2,1018602125.0,8.0,16.0
Germany,Asia,2.082,0.847,83.0,0.242,0.009,0.046,17.4,1397688830.0,8.0,17.0
UAE,Oceania,2.483,0.332,84.5,0.982,0.524,0.102,15.8,373652186.0,8.0,18.0
Australia,Asia,2.107,0.745,81.9,0.95,0.256,0.806,6.5,874502653.0,8.0,19.0
Denmark,North America,2.451,0.43,82.3,0.728,0.56,0.733,15.5,1084023068.0,8.0,20.0
USA,South America,2.269,0.719,72.0,0.427,0.602,0.39,9.5,210153137.0,8.0,21.0
Spain,Europe,2.371,0.37,83.7,0.483,0.431,0.377,17.2,219303469.0,8.0,22.0
