Trade_ID,Date,Company,Open,High,Low,Close,Volume,Market_Cap_Cr,PE_Ratio
1,2024-01-01,SBI,1322.33,1333.17,1248.79,1281.4,74484.0,84018.0,5.0
2,2024-01-02,Reliance,1205.6,1318.19,1112.19,1265.12,778932.0,376463.0,21.0
3,2024-01-03,TCS,1417.74,1557.69,1268.55,1541.47,923065.0,98200.0,55.0
4,2024-01-04,Tata Motors,1965.67,2068.55,1945.58,2031.69,937572.0,122553.0,10.0
5,2024-01-05,Infosys,442.83,542.41,400.97,451.06,148741.0,498995.0,27.0
6,2024-01-06,SBI,2186.03,2208.46,2117.89,2144.88,808402.0,358424.0,15.0
7,2024-01-07,Reliance,2895.31,2989.63,2877.91,2881.27,564368.0,176962.0,23.0
8,2024-01-08,Tata Motors,616.48,632.35,570.23,600.94,572259.0,446488.0,47.0
9,2024-01-09,Wipro,1460.81,1609.27,1391.93,1535.62,350594.0,430090.0,56.0
10,2024-01-10,HDFC,1118.12,1189.85,968.25,1051.83,321102.0,240978.0,19.0
11,2024-01-11,HCL,776.96,918.47,763.42,816.0,976411.0,372274.0,60.0
12,2024-01-12,Tata Motors,2934.73,2965.21,2845.82,2910.36,862598.0,264736.0,42.0
13,2024-01-13,Wipro,1887.46,1908.79,1789.37,1790.46,962010.0,167402.0,7.0
14,2024-01-14,Infosys,840.16,869.29,743.86,771.37,901700.0,474156.0,50.0
15,2024-01-15,Reliance,1458.71,1471.41,1403.26,1447.63,874837.0,176148.0,33.0
16,2024-01-16,TCS,1811.75,1960.05,1764.53,1809.08,16287.0,378338.0,27.0
17,2024-01-17,Adani,2812.42,2912.52,2689.1,2876.19,704202.0,289774.0,49.0
18,2024-01-18,TCS,310.52,317.62,295.47,311.11,629079.0,236498.0,59.0
19,2024-01-19,Tata Motors,731.94,798.24,682.14,780.67,,432138.0,43.0
20,2024-01-20,HCL,288.22,293.15,249.82,282.01,322472.0,478959.0,40.0
21,2024-01-21,Tata Motors,2748.39,2857.14,2742.46,2759.44,470118.0,485755.0,32.0
22,2024-01-22,Reliance,121.6,250.0,50.0,129.04,338250.0,97133.0,45.0
23,2024-01-23,TCS,1734.92,1750.26,1689.34,1689.63,363819.0,353534.0,54.0
24,2024-01-24,SBI,1760.01,1765.1,1666.27,1666.52,120074.0,416933.0,50.0
25,2024-01-25,HDFC,2292.69,2357.1,2223.07,2257.14,356775.0,369675.0,24.0
26,2024-01-26,Wipro,543.6,655.57,455.23,471.8,517390.0,232921.0,35.0
27,2024-01-27,HDFC,2356.09,2377.12,2346.34,2363.7,541565.0,308252.0,16.0
28,2024-01-28,ICICI,2792.6,2804.88,2731.85,2775.91,221949.0,,21.0
29,2024-01-29,ICICI,201.93,333.14,165.44,222.9,283264.0,366677.0,25.0
30,2024-01-30,Infosys,384.31,450.61,247.21,345.21,835663.0,346440.0,27.0
31,2024-01-31,HCL,534.87,644.98,449.34,548.75,829222.0,27720.0,19.0
32,2024-02-01,HCL,731.28,853.25,701.1,836.2,716134.0,312261.0,33.0
33,2024-02-02,HDFC,125.1,176.02,50.0,136.94,239533.0,418287.0,51.0
34,2024-02-03,Tata Motors,799.98,930.92,725.52,872.82,735322.0,186434.0,53.0
35,2024-02-04,Wipro,697.87,716.85,650.52,668.56,519693.0,224534.0,48.0
36,2024-02-05,HCL,257.2,361.07,225.85,245.73,405456.0,329912.0,42.0
37,2024-02-06,TCS,2618.19,2713.11,2585.16,2603.46,302401.0,35055.0,46.0
38,2024-02-07,Wipro,1646.22,1731.45,1499.59,1677.27,233876.0,92135.0,27.0
39,2024-02-08,Adani,1151.84,1159.13,1028.19,1078.09,221510.0,195351.0,18.0
40,2024-02-09,Infosys,289.2,318.69,231.29,307.58,533687.0,43938.0,21.0
41,2024-02-10,ICICI,455.27,555.82,326.64,358.05,398753.0,172738.0,6.0
42,2024-02-11,SBI,2252.52,2264.3,2120.55,2253.76,213677.0,211027.0,34.0
43,2024-02-12,TCS,461.6,471.85,347.01,353.53,531272.0,210622.0,29.0
44,2024-02-13,TCS,1670.08,1743.35,1534.48,1583.58,104869.0,71116.0,43.0
45,2024-02-14,Reliance,2700.71,2741.99,2610.16,2653.25,555681.0,200792.0,52.0
46,2024-02-15,Reliance,2642.57,2724.33,2606.9,2614.55,870853.0,241358.0,36.0
47,2024-02-16,TCS,522.89,639.01,512.49,562.17,829192.0,211893.0,55.0
48,2024-02-17,HCL,1083.46,1203.16,984.8,1102.4,951085.0,426189.0,54.0
49,2024-02-18,ICICI,1832.1,1921.22,1746.33,1747.99,429831.0,105531.0,16.0
50,2024-02-19,SBI,1927.15,1948.78,1815.3,1891.17,379527.0,296506.0,36.0
51,2024-02-20,Infosys,2452.39,2536.86,2332.82,2347.67,858107.0,288776.0,9.0
52,2024-02-21,HDFC,1940.79,2060.14,1801.67,2010.35,131813.0,96249.0,49.0
53,2024-02-22,SBI,2316.91,2390.57,2301.28,2325.63,658196.0,6797.0,40.0
54,2024-02-23,Infosys,534.85,628.39,391.84,450.34,494261.0,149607.0,24.0
55,2024-02-24,SBI,1454.24,1455.82,1417.3,1427.9,513727.0,417518.0,57.0
56,2024-02-25,Adani,1092.58,1131.92,1052.97,1126.78,234197.0,280045.0,18.0
57,2024-02-26,ICICI,2666.41,2672.03,2577.28,2613.98,637449.0,354024.0,8.0
58,2024-02-27,Reliance,2422.75,2459.53,2347.11,2382.91,6005.0,493654.0,21.0
59,2024-02-28,Infosys,1841.3,1886.06,1749.17,1760.97,530434.0,131906.0,29.0
60,2024-02-29,Reliance,375.87,478.43,363.73,474.11,712784.0,424428.0,31.0
61,2024-03-01,Adani,2887.83,2926.28,2816.79,2834.42,144200.0,478308.0,22.0
62,2024-03-02,SBI,2264.69,2281.67,2194.78,2219.67,203552.0,314553.0,28.0
63,2024-03-03,TCS,2176.88,2251.36,2171.98,2243.7,482082.0,474706.0,53.0
64,2024-03-04,Adani,2037.82,2174.88,1952.96,2058.22,244413.0,225634.0,21.0
65,2024-03-05,TCS,1600.28,1687.22,1566.1,1602.06,345036.0,165780.0,16.0
66,2024-03-06,SBI,2777.25,2785.93,2721.59,2749.86,522727.0,8092.0,17.0
67,2024-03-07,Wipro,1596.07,1685.24,1586.75,1612.16,507730.0,161995.0,51.0
68,2024-03-08,SBI,449.4,460.07,302.31,356.6,642266.0,286319.0,37.0
69,2024-03-09,Adani,1489.45,1543.34,1478.93,1508.17,717390.0,458180.0,27.0
70,2024-03-10,ICICI,1174.57,1285.42,1047.72,1096.11,881331.0,387165.0,41.0
71,2024-03-11,HCL,264.2,342.57,247.41,319.99,540482.0,174771.0,41.0
72,2024-03-12,Adani,1387.2,1514.95,1349.08,1394.42,994433.0,467877.0,14.0
73,2024-03-13,ICICI,1185.48,1215.2,1080.62,1125.62,422647.0,101848.0,19.0
74,2024-03-14,SBI,1018.78,1073.99,873.02,912.43,621111.0,135055.0,18.0
75,2024-03-15,Tata Motors,322.31,403.55,252.41,265.24,254714.0,237578.0,37.0
