Transaction_ID,User_ID,Date,Category,Type,Amount,Payment_Method,Merchant,City,Description,Budget,Balance
1,1389.0,2024-05-17,Entertainment,Income,16816.0,Debit Card,Pharmacy,Surat,Transaction,20455.0,129875.0
2,1311.0,2024-04-06,Food,Expense,1957.0,Wallet,College,Vadodara,Transaction,56093.0,113447.0
3,1015.0,2026-01-08,Food,Income,38841.0,Cash,Cinema,Ahmedabad,Transaction,18399.0,83212.0
4,1113.0,2025-01-25,Entertainment,Income,27763.0,Debit Card,Cinema,Surat,Transaction,8806.0,138314.0
5,1235.0,2024-12-19,Bills,Income,44457.0,Cash,Pharmacy,Bhavnagar,Transaction,33676.0,199477.0
6,1440.0,2025-10-19,Bills,Income,12283.0,Cash,Electricity,Bhavnagar,Transaction,87490.0,189697.0
7,1498.0,2025-03-08,Entertainment,Income,19981.0,Net Banking,Pharmacy,Bhavnagar,Transaction,42245.0,154030.0
8,1408.0,2026-05-23,Education,Income,31572.0,Debit Card,Swiggy,Vadodara,Transaction,36816.0,194964.0
9,1260.0,2025-07-15,Travel,Expense,5766.0,UPI,Cinema,Rajkot,Transaction,62535.0,174000.0
10,1022.0,2025-01-14,Bills,Expense,48122.0,Wallet,Local Shop,Bhavnagar,Transaction,,123029.0
11,1257.0,2025-08-15,Rent,Expense,42512.0,Cash,Zomato,Bhavnagar,Transaction,27328.0,44195.0
12,1487.0,2026-05-30,Others,Income,26606.0,Credit Card,College,Vadodara,Transaction,72341.0,90131.0
13,1265.0,2025-11-06,Grocery,Income,25245.0,UPI,Pharmacy,Ahmedabad,Transaction,72174.0,33881.0
14,1481.0,2025-05-07,Grocery,Expense,37455.0,Debit Card,College,Vadodara,Transaction,77666.0,52386.0
15,1319.0,2025-02-28,Others,Expense,203.0,Credit Card,College,Bhavnagar,Transaction,75579.0,141586.0
16,1299.0,2024-01-29,Shopping,Income,41739.0,Cash,Cinema,Vadodara,Transaction,28227.0,144377.0
17,1007.0,2024-02-03,Bills,Income,5554.0,UPI,Uber,Ahmedabad,Transaction,7187.0,118750.0
18,1085.0,2026-03-27,Shopping,Income,22672.0,Credit Card,Cinema,Surat,Transaction,,18223.0
19,1232.0,2025-11-03,Healthcare,Expense,42580.0,Debit Card,College,Ahmedabad,Transaction,98269.0,77199.0
20,1407.0,2024-01-25,Rent,Expense,25433.0,Credit Card,DMart,Vadodara,Transaction,50002.0,110341.0
21,1115.0,2026-01-17,Food,Income,39791.0,Debit Card,Swiggy,Ahmedabad,Transaction,,5457.0
22,1347.0,2026-01-06,Education,Income,29307.0,Net Banking,Zomato,Bhavnagar,Transaction,97354.0,132725.0
23,1202.0,2025-04-06,Others,Income,34434.0,Credit Card,Pharmacy,Ahmedabad,Transaction,90001.0,8047.0
24,1156.0,2026-01-25,Travel,Expense,8336.0,Cash,Uber,Vadodara,Transaction,,12436.0
25,1066.0,2026-01-31,Food,Income,27374.0,Net Banking,Amazon,Bhavnagar,Transaction,79047.0,66154.0
26,1423.0,2026-04-19,Others,Income,37473.0,Net Banking,Amazon,Rajkot,Transaction,65404.0,44962.0
27,1345.0,2024-07-24,Education,Expense,6589.0,Net Banking,Zomato,Rajkot,Transaction,31969.0,150308.0
28,1008.0,2024-04-16,Healthcare,Expense,19503.0,Net Banking,Pharmacy,Vadodara,Transaction,71074.0,131019.0
29,1400.0,2024-01-19,Shopping,Income,13263.0,Credit Card,Pharmacy,Surat,Transaction,47957.0,147676.0
30,1468.0,2024-09-29,Grocery,Income,24953.0,Debit Card,Cinema,Surat,Transaction,76778.0,90138.0
31,1085.0,2024-03-07,Grocery,Income,5649.0,UPI,Uber,Vadodara,Transaction,22434.0,44484.0
32,1058.0,2025-09-06,Bills,Expense,24224.0,UPI,Local Shop,Rajkot,Transaction,49413.0,89203.0
33,1037.0,2024-05-18,Education,Income,21119.0,UPI,Swiggy,Vadodara,Transaction,10129.0,106587.0
34,1114.0,2024-04-27,Others,Expense,5123.0,Cash,Uber,Vadodara,Transaction,,144251.0
35,1402.0,2024-10-29,Food,Income,30100.0,Credit Card,Amazon,Bhavnagar,Transaction,41330.0,28240.0
36,1422.0,2025-11-17,Food,Income,,UPI,Zomato,Bhavnagar,Transaction,59202.0,
37,1348.0,2025-03-07,Rent,Income,7673.0,UPI,DMart,Rajkot,Transaction,64101.0,43878.0
38,1244.0,2025-01-22,Healthcare,Expense,36158.0,Cash,Zomato,Vadodara,Transaction,38214.0,186544.0
39,1305.0,2024-02-10,Healthcare,Income,788.0,Debit Card,Pharmacy,Vadodara,Transaction,43738.0,190443.0
40,1496.0,2025-02-12,Entertainment,Income,4306.0,Cash,Uber,Surat,Transaction,46595.0,157665.0
41,1093.0,2026-03-14,Grocery,Expense,43473.0,UPI,Uber,Surat,Transaction,51638.0,67917.0
42,1385.0,2024-09-09,Entertainment,Expense,5432.0,Cash,Local Shop,Vadodara,Transaction,41803.0,23439.0
43,1095.0,2024-08-20,Healthcare,Expense,20205.0,Net Banking,Uber,Surat,Transaction,10380.0,
44,1413.0,2024-12-08,Others,Income,35766.0,Cash,Zomato,Surat,Transaction,85136.0,151777.0
45,1282.0,2024-01-21,Travel,Income,26430.0,Wallet,DMart,Ahmedabad,Transaction,14480.0,70271.0
46,1240.0,2025-10-12,Shopping,Income,,Cash,Cinema,Vadodara,Transaction,52079.0,129305.0
47,1420.0,2024-03-19,Healthcare,Income,11868.0,Credit Card,DMart,Bhavnagar,Transaction,24603.0,37103.0
48,1279.0,2026-05-04,Food,Expense,8377.0,Credit Card,Local Shop,Bhavnagar,Transaction,32097.0,37140.0
49,1275.0,2026-05-10,Shopping,Income,11775.0,Cash,Zomato,Vadodara,Transaction,44180.0,113413.0
50,1281.0,2026-03-07,Bills,Income,44800.0,Net Banking,College,Bhavnagar,Transaction,63549.0,112766.0
51,1132.0,2025-04-09,Entertainment,Income,26033.0,Cash,Pharmacy,Bhavnagar,Transaction,49390.0,44962.0
52,1070.0,2024-01-20,Others,Income,45431.0,UPI,Swiggy,Vadodara,Transaction,51523.0,152062.0
53,1088.0,2026-04-28,Others,Expense,26170.0,Cash,Zomato,Rajkot,Transaction,78934.0,105141.0
54,1457.0,2024-01-08,Entertainment,Income,34748.0,Wallet,Zomato,Surat,Transaction,46581.0,131307.0
55,1364.0,2024-11-16,Education,Expense,45119.0,Credit Card,Cinema,Bhavnagar,Transaction,67760.0,58998.0
56,1471.0,2026-01-15,Travel,Expense,42463.0,Net Banking,Electricity,Surat,Transaction,33766.0,12634.0
57,1153.0,2025-06-07,Grocery,Income,20534.0,Credit Card,Swiggy,Rajkot,Transaction,44153.0,181549.0
58,1292.0,2025-08-31,Education,Income,8176.0,UPI,Swiggy,Vadodara,Transaction,84443.0,134729.0
59,1400.0,2025-03-12,Food,Income,37423.0,Debit Card,Pharmacy,Vadodara,Transaction,99319.0,198639.0
60,1046.0,2025-01-28,Bills,Income,35766.0,Wallet,DMart,Vadodara,Transaction,10335.0,137409.0
61,1351.0,2026-01-24,Travel,Income,9217.0,Debit Card,Zomato,Rajkot,Transaction,85858.0,172940.0
62,1224.0,2026-04-01,Shopping,Expense,26133.0,Net Banking,College,Surat,Transaction,26594.0,85319.0
63,1465.0,2024-05-02,Travel,Expense,39466.0,Wallet,Uber,Vadodara,Transaction,74999.0,107013.0
64,1491.0,2024-09-11,Rent,Expense,49224.0,Net Banking,College,Bhavnagar,Transaction,78318.0,1050.0
65,1427.0,2024-01-22,Bills,Income,41225.0,UPI,Swiggy,Vadodara,Transaction,84380.0,63501.0
66,1387.0,2024-05-31,Bills,Income,18006.0,Wallet,College,Surat,Transaction,45781.0,153547.0
67,1393.0,2025-07-12,Rent,Expense,32265.0,Net Banking,Pharmacy,Surat,Transaction,60045.0,31929.0
68,1382.0,2024-10-17,Food,Income,1682.0,Net Banking,Uber,Surat,Transaction,20475.0,149240.0
69,1257.0,2024-03-17,Healthcare,Expense,37624.0,Net Banking,Electricity,Ahmedabad,Transaction,45796.0,114601.0
70,1156.0,2024-05-06,Grocery,Expense,47152.0,Debit Card,Electricity,Bhavnagar,Transaction,63923.0,91806.0
71,1104.0,2025-05-19,Grocery,Income,42545.0,Cash,Uber,Bhavnagar,Transaction,54487.0,100240.0
72,1209.0,2026-01-09,Bills,Income,30350.0,Wallet,Swiggy,Rajkot,Transaction,83752.0,135505.0
73,1347.0,2025-09-26,Education,Income,,Net Banking,Pharmacy,Rajkot,Transaction,73968.0,922.0
74,1495.0,2024-12-10,Bills,Income,32389.0,Wallet,Amazon,Rajkot,Transaction,37457.0,167865.0
75,1433.0,2026-01-08,Shopping,Income,41632.0,Cash,Local Shop,Ahmedabad,Transaction,57077.0,70846.0
76,1278.0,2024-12-23,Bills,Expense,46500.0,UPI,College,Vadodara,Transaction,58888.0,179577.0
77,1138.0,2025-05-11,Grocery,Income,30712.0,Cash,Local Shop,Rajkot,Transaction,71889.0,11898.0
78,1010.0,2024-03-12,Shopping,Expense,4490.0,Net Banking,Swiggy,Ahmedabad,Transaction,91093.0,115994.0
79,1270.0,2025-02-15,Rent,Expense,39748.0,UPI,Electricity,Vadodara,Transaction,44898.0,54759.0
80,,2024-03-11,Entertainment,Income,45922.0,Net Banking,Cinema,Ahmedabad,Transaction,73576.0,172696.0
81,1138.0,2024-06-21,Healthcare,Expense,42899.0,Net Banking,Zomato,Rajkot,Transaction,98511.0,145815.0
82,1443.0,2025-07-28,Others,Expense,11395.0,Credit Card,Zomato,Vadodara,Transaction,68389.0,68032.0
83,1206.0,2025-09-16,Healthcare,Income,43408.0,Debit Card,Zomato,Vadodara,Transaction,9002.0,163172.0
84,1227.0,2024-07-13,Others,Income,41118.0,Wallet,Swiggy,Bhavnagar,Transaction,26709.0,151819.0
85,1398.0,2024-09-25,Shopping,Expense,34610.0,Wallet,College,Vadodara,Transaction,26303.0,36338.0
86,1105.0,2024-11-13,Bills,Expense,15860.0,Cash,DMart,Surat,Transaction,20182.0,188260.0
87,1023.0,2025-02-10,Food,Expense,32367.0,Net Banking,Amazon,Surat,Transaction,18103.0,48958.0
88,1417.0,2025-11-30,Others,Income,32504.0,Debit Card,Electricity,Vadodara,Transaction,97264.0,138552.0
89,1119.0,2024-04-30,Entertainment,Income,,Debit Card,Pharmacy,Surat,Transaction,34106.0,104780.0
90,1296.0,2024-08-25,Education,Income,18688.0,UPI,College,Vadodara,Transaction,65630.0,143397.0
91,1040.0,2024-12-04,Food,Expense,39003.0,Cash,Amazon,Rajkot,Transaction,19541.0,56058.0
92,1204.0,2024-11-23,Shopping,Expense,38127.0,Wallet,Swiggy,Ahmedabad,Transaction,42645.0,51349.0
93,1029.0,2024-01-16,Others,Expense,9614.0,Debit Card,Uber,Surat,Transaction,92138.0,142232.0
94,1018.0,2024-03-22,Grocery,Expense,42839.0,Cash,Cinema,Surat,Transaction,44767.0,3785.0
95,1097.0,2024-02-13,Food,Expense,7796.0,Debit Card,Swiggy,Vadodara,Transaction,61689.0,23864.0
96,1168.0,2025-12-04,Bills,Income,43551.0,Credit Card,Zomato,Surat,Transaction,63656.0,102158.0
97,1357.0,2024-03-02,Grocery,Income,23012.0,Wallet,Cinema,Ahmedabad,Transaction,61160.0,158689.0
98,1450.0,2024-12-27,Grocery,Expense,35364.0,Debit Card,DMart,Vadodara,Transaction,31131.0,186554.0
99,1077.0,2026-01-31,Food,Income,16587.0,UPI,Pharmacy,Ahmedabad,Transaction,28275.0,25314.0
100,1189.0,2024-02-24,Travel,Income,33709.0,Credit Card,Amazon,Surat,Transaction,66494.0,131367.0
101,1458.0,2025-06-28,Education,Income,29155.0,Wallet,College,Ahmedabad,Transaction,92065.0,33607.0
102,1043.0,2026-01-24,Bills,Expense,6022.0,Cash,Pharmacy,Ahmedabad,Transaction,37769.0,85305.0
103,1406.0,2026-01-20,Education,Expense,20626.0,Cash,Uber,Ahmedabad,Transaction,22040.0,68236.0
104,1169.0,2025-03-11,Healthcare,Income,33047.0,Net Banking,Pharmacy,Bhavnagar,Transaction,78030.0,53847.0
105,1268.0,2025-05-07,Grocery,Income,8601.0,Wallet,Local Shop,Bhavnagar,Transaction,90534.0,117600.0
106,1189.0,2025-07-02,Education,Income,19192.0,Net Banking,Electricity,Ahmedabad,Transaction,25582.0,52422.0
107,1022.0,2025-02-23,Bills,Expense,8381.0,Wallet,Cinema,Vadodara,Transaction,80354.0,17003.0
108,1166.0,2025-03-03,Grocery,Expense,20992.0,Net Banking,Amazon,Bhavnagar,Transaction,51218.0,71478.0
109,1293.0,2024-05-04,Travel,Income,20882.0,Debit Card,Uber,Rajkot,Transaction,47673.0,85869.0
110,1472.0,2025-04-10,Others,Expense,48703.0,Cash,Swiggy,Ahmedabad,Transaction,54876.0,20491.0
111,1359.0,2025-06-20,Others,Expense,37822.0,Wallet,Electricity,Vadodara,Transaction,38019.0,64320.0
112,1306.0,2026-03-27,Healthcare,Expense,26483.0,Net Banking,Cinema,Surat,Transaction,,121784.0
113,1288.0,2024-01-30,Shopping,Income,16492.0,Cash,Swiggy,Rajkot,Transaction,95078.0,57968.0
114,1136.0,2026-01-15,Travel,Income,6602.0,UPI,Uber,Ahmedabad,Transaction,76527.0,178603.0
115,1429.0,2025-10-09,Shopping,Income,4871.0,Net Banking,Pharmacy,Ahmedabad,Transaction,33492.0,168621.0
116,1112.0,2025-08-27,Rent,Expense,31994.0,Net Banking,College,Surat,Transaction,,74383.0
117,1467.0,2025-03-11,Rent,Expense,44376.0,Debit Card,DMart,Vadodara,Transaction,53124.0,142731.0
118,1263.0,2025-02-21,Entertainment,Income,642.0,Cash,Pharmacy,Bhavnagar,Transaction,74728.0,99802.0
119,1003.0,2025-06-06,Rent,Expense,2729.0,Credit Card,Amazon,Bhavnagar,Transaction,51114.0,120180.0
120,1330.0,2024-05-02,Others,Expense,,Net Banking,Uber,Bhavnagar,Transaction,46360.0,
121,1157.0,2025-02-25,Entertainment,Expense,39603.0,Credit Card,Swiggy,Bhavnagar,Transaction,87570.0,152321.0
122,1325.0,2025-03-30,Food,Income,,Debit Card,Local Shop,Ahmedabad,Transaction,26360.0,66255.0
123,1458.0,2025-01-12,Food,Expense,26454.0,Cash,DMart,Ahmedabad,Transaction,41903.0,172750.0
124,1325.0,2025-01-27,Entertainment,Expense,30532.0,Credit Card,Pharmacy,Rajkot,Transaction,40646.0,97683.0
125,1212.0,2026-04-02,Shopping,Income,31801.0,Cash,Swiggy,Vadodara,Transaction,51464.0,37930.0
126,1132.0,2025-01-11,Grocery,Income,38738.0,Credit Card,Pharmacy,Vadodara,Transaction,42636.0,108242.0
127,1424.0,2025-03-19,Entertainment,Expense,31937.0,Debit Card,Pharmacy,Ahmedabad,Transaction,33241.0,187554.0
128,1373.0,2024-03-06,Food,Income,13609.0,Cash,Uber,Surat,Transaction,24608.0,60090.0
129,1095.0,2025-05-06,Food,Income,26257.0,Cash,Pharmacy,Bhavnagar,Transaction,90152.0,189662.0
130,1024.0,2024-02-22,Travel,Income,,Wallet,Cinema,Rajkot,Transaction,60296.0,90885.0
131,1091.0,2026-05-04,Entertainment,Income,,Wallet,Amazon,Surat,Transaction,94725.0,73073.0
132,1229.0,2025-11-24,Bills,Income,25640.0,Wallet,Cinema,Rajkot,Transaction,21225.0,175296.0
133,1076.0,2025-02-06,Education,Income,39822.0,Net Banking,Zomato,Surat,Transaction,67808.0,27742.0
134,1444.0,2025-06-17,Entertainment,Expense,27402.0,Wallet,Cinema,Surat,Transaction,75348.0,75652.0
135,1387.0,2026-03-18,Healthcare,Expense,31948.0,Wallet,Uber,Ahmedabad,Transaction,18481.0,2244.0
136,1260.0,2025-07-07,Bills,Expense,19751.0,Credit Card,Zomato,Rajkot,Transaction,18206.0,59915.0
137,1287.0,2024-05-31,Others,Income,16897.0,Cash,Cinema,Bhavnagar,Transaction,30599.0,106880.0
138,1245.0,2025-06-05,Bills,Income,27218.0,Credit Card,College,Surat,Transaction,40410.0,73345.0
139,1173.0,2025-05-25,Shopping,Expense,39356.0,Net Banking,Swiggy,Bhavnagar,Transaction,66675.0,63350.0
140,1258.0,2025-12-11,Healthcare,Expense,35146.0,Net Banking,Swiggy,Surat,Transaction,24586.0,15246.0
